Survey ID,Age,Gender,Ethnicity,Education Completed,Marital Status,Household Size,Spouse,Children,Parent,Religion,Full Time Employment,Part Time Employment,Employment Type,Student,Retired,Occupation,Income,Achieving Ends Meet,US Born,Duration of Residency,Citizenship Class,English Speaking,Familiarity with America,Familiarity with Ethnic Origin,Present Health,Present Mental Health,Health Insurance,Status of Ownership,Personal Car,Satisfaction with Life,Quality of Life
80314,,,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60171,60,Male,Chinese,13,Married,6,0,Living with children,0,Buddhist,0,0,None,0,Retired,"Clerical, office, sales","$30,000 - $39,999",0,No,0.5,,Not at all,High,High,,,,,,,
1011601,23,Female,Chinese,16,Single,3,0,0,Living with parents,Buddhist,0,0,None,0,0,None,"$0 - $9,999",0,No,11,Yes,Well,Low,Very high,Very Good,Good,0,Own,No,Pretty much,8
50046,73,Female,Chinese,13,Other,1,0,0,0,Protestant,0,0,None,0,Retired,None,,0,No,50,,Not well,High,High,Good,Very Good,Yes,,,Pretty much,
10494,29,Male,Asian Indian,17,Single,1,0,0,0,Hindu,Employed full time,0,Full Time,0,0,Other,,0,No,7,,Well,High,High,Good,Good,,,,,
10786,34,Female,Asian Indian,17,Married,3,Living with spouse,Living with children,0,Hindu,Employed full time,0,Full Time,0,0,Professional,,0,No,,,Very well,Very high,,Excellent,Excellent,Yes,,,Very much,5
10809,28,Male,Asian Indian,17,Married,2,Living with spouse,0,0,Hindu,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",1,No,7,,Well,High,High,Very Good,Very Good,Yes,,,,8
10858,47,Male,Asian Indian,17,Married,5,Living with spouse,Living with children,0,Muslim,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,20,,Very well,High,High,Excellent,Excellent,,,,,
10856,25,Male,Asian Indian,17,Single,1,0,0,0,Hindu,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",0,No,2,,Very well,Very high,Low,Excellent,Excellent,Yes,,,Very much,10
10103,60,Female,Asian Indian,17,Single,3,0,0,Living with parents,Hindu,0,0,None,0,Retired,None,"$70,000 and over",0,No,47,,Very well,Low,High,Good,Excellent,Yes,Own,Yes,,9
10401,22,Female,Vietnamese,17,Single,4,0,0,0,Protestant,Employed full time,0,Full Time,0,0,"Clerical, office, sales","$40,000 - $49,999",0,No,13,,Very well,High,Very high,Very Good,Very Good,Yes,,,Very much,
80505,43,Male,Vietnamese,17,Married,3,0,Living with children,0,Catholic,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,30,Yes,Very well,High,High,Very Good,Good,0,Rent,No,,6
11019,44,Female,Filipino,16,Other,4,Living with spouse,Living with children,Living with parents,Catholic,Employed full time,0,Full Time,0,0,Other,"$30,000 - $39,999",0,No,12,,Well,High,High,Excellent,Very Good,Yes,,,Very much,8
11033,32,Male,Filipino,16,Married,4,Living with spouse,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$70,000 and over",1,Yes,32,,Very well,Very high,Very low,Very Good,Very Good,Yes,,,Very much,7
11085,40,Female,Filipino,17,Single,4,0,Living with children,0,Protestant,0,0,None,0,0,Business owner,"$40,000 - $49,999",1,No,9,,Well,High,High,Very Good,Good,0,,,,5
90039,70,Female,Filipino,12,Married,4,0,Living with children,0,Protestant,0,0,None,0,0,None,,,No,7,,Not well,High,High,Very Good,Good,Yes,,,Pretty much,5
10040055,68,Female,Filipino,14,Married,3,Living with spouse,Living with children,0,Catholic,0,0,None,0,Retired,"Manager, executive, or official","$40,000 - $49,999",0,No,50,,Very well,High,High,Good,Good,,,No,,8
80121,46,Male,Vietnamese,10,Married,4,Living with spouse,Living with children,0,Buddhist,0,0,None,0,0,Semi-skilled,"$20,000 - $29,999",,No,21,No,Not well,High,Very high,Good,Very Good,Yes,Own,Yes,Pretty much,7
30052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10399,27,Female,Chinese,17,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",0,Yes,27,Yes,Very well,Very high,Very high,Excellent,Excellent,Yes,Rent,Yes,Very much,10
60100,72,Female,Chinese,12,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,0.5,,Not at all,Very low,High,Fair,Fair,,,,,
11159,23,Male,Chinese,10,Living with a partner,1,0,0,0,Other,Employed full time,0,Full Time,0,0,Business owner,"$60,000 - $69,999",1,Yes,23,No,Well,High,Low,Poor,Good,Yes,Rent,No,,5
10258,36,Male,Chinese,13,Married,4,Living with spouse,0,0,Catholic,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$0 - $9,999",0,No,15,No,Well,High,Low,Very Good,Very Good,Yes,Rent,Yes,Very much,
50208,68,Female,Chinese,14,Married,6,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,,No,Not at all,Low,Very low,Fair,Very Good,Yes,Own,Yes,Pretty much,6
50192,49,Female,Chinese,16,Married,4,Living with spouse,0,0,None,Employed full time,0,Full Time,0,0,Business owner,"$40,000 - $49,999",0,No,4,No,Not well,High,High,Good,Good,Yes,Own,Yes,Very much,5
60183,75,,Chinese,16,Married,2,Living with spouse,0,0,None,0,0,None,0,Retired,None,"$0 - $9,999",1,No,20,No,Not at all,Very low,High,Fair,Fair,Yes,Own,No,Pretty much,5
50010,76,Male,Chinese,16,Married,6,0,Living with children,0,None,0,0,None,0,Retired,None,"$10,000 - $19,999",0,No,,,Not at all,Low,High,Fair,Fair,0,Own,Yes,,5
60182,69,Male,Chinese,17,Married,2,Living with spouse,0,0,None,0,0,None,0,Retired,None,"$50,000 - $59,999",0,No,30,Yes,Well,High,High,Good,Very Good,Yes,Own,Yes,Pretty much,7
60237,74,Male,Chinese,16,Married,5,0,Living with children,0,,0,0,None,0,Retired,"Clerical, office, sales","$70,000 and over",1,No,0.5,No,Not at all,Low,High,Fair,Good,0,Own,No,,6
11171,19,Female,Chinese,13,Single,2,0,0,0,None,0,0,None,Student,0,None,"$30,000 - $39,999",0,No,8,No,Well,High,High,Very Good,Very Good,Yes,Rent,No,,7
50071,65,Male,Chinese,17,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,None,"$70,000 and over",0,No,35,No,Well,High,High,Very Good,Very Good,Yes,Own,Yes,,8
50275,55,Female,Chinese,12,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Service worker,"$30,000 - $39,999",0,No,30,Yes,Well,High,High,Fair,Good,Yes,Own,Yes,Pretty much,5
60106,69,Female,Chinese,12,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,0.5,Yes,Not at all,,Low,Fair,Fair,0,Own,Yes,,5
60157,67,Female,Chinese,16,Married,6,0,Living with children,0,None,0,0,None,0,Retired,None,"$0 - $9,999",0,No,3,Yes,Not at all,Low,High,Fair,Fair,0,Own,Yes,Pretty much,5
50026,55,Female,Chinese,12,Married,4,Living with spouse,Living with children,Living with parents,Protestant,Employed full time,0,Full Time,0,0,Business owner,"$40,000 - $49,999",0,No,25,No,Not well,High,High,Very Good,Excellent,Yes,Own,Yes,,7
60098,81,Male,Chinese,16,Married,2,Living with spouse,0,0,None,0,0,None,0,Retired,None,,1,No,12,Yes,Not well,Low,High,Good,Fair,Yes,Own,Yes,Pretty much,6
60230,45,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,19,Yes,Well,High,High,Good,Good,Yes,Own,Yes,Pretty much,5
10074,78,Male,Chinese,16,Single,1,0,0,0,Catholic,0,0,None,0,Retired,None,"$60,000 - $69,999",0,Yes,78,No,Very well,Very high,High,Excellent,Very Good,Yes,Rent,Yes,Very much,10
60110,24,Female,Chinese,17,Single,3,0,0,Living with parents,None,0,0,None,Student,0,None,"$30,000 - $39,999",0,No,,Yes,Not well,High,High,Good,Good,Yes,Rent,No,Pretty much,7
50011,75,Female,Chinese,16,Married,6,0,Living with children,0,None,0,0,None,0,Retired,None,,,No,,,Not at all,Low,High,Fair,Good,,Own,Yes,,5
60138,61,,Chinese,16,Married,5,0,Living with children,0,Other,0,0,None,0,Retired,None,,0,No,1,No,Not at all,Very low,High,Fair,Good,0,Own,Yes,,6
50216,74,Female,Chinese,7,Married,2,0,Living with children,0,None,0,0,None,0,0,None,"$0 - $9,999",1,No,2,Yes,Not at all,High,High,Fair,Fair,0,Own,Yes,,4
60015,52,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,,0,No,15,Yes,Well,High,Very high,Excellent,Excellent,Yes,Own,Yes,,8
60061,76,Female,Chinese,9,Married,8,0,Living with children,0,None,0,0,None,0,Retired,None,,1,No,4,No,Not at all,Very high,High,Fair,Good,0,Own,No,Pretty much,6
50114,45,Female,Chinese,16,Single,2,0,Living with children,0,Protestant,Employed full time,0,Full Time,0,0,Service worker,"$0 - $9,999",,No,0.5,No,Not at all,Very high,High,Excellent,Very Good,0,Rent,No,,1
50058,66,Male,Chinese,17,Married,3,Living with spouse,0,Living with parents,Protestant,0,0,None,0,Retired,None,,0,No,42,No,Very well,Very high,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,10
60241,40,Female,Chinese,17,Married,5,Living with spouse,0,Living with parents,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,13,No,Well,High,High,Good,Fair,Yes,Own,Yes,Very much,6
10178,57,Male,Chinese,17,Married,4,Living with spouse,Living with children,0,Catholic,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,29,No,Very well,Very high,Very high,Excellent,Excellent,Yes,Own,Yes,Very much,10
80349,65,Female,Vietnamese,10,Married,5,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Semi-skilled,"$20,000 - $29,999",0,,35,Yes,Well,High,High,Good,Good,Yes,Own,Yes,Pretty much,9
10276,19,Female,Chinese,14,Single,5,0,0,Living with parents,Buddhist,0,0,None,Student,0,None,"$20,000 - $29,999",1,No,7,No,Well,High,Very high,Excellent,Excellent,0,Own,Yes,Very much,8
40166,36,Male,Chinese,17,Married,4,Living with spouse,Living with children,0,Muslim,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,4,No,Well,Low,Very high,Very Good,Very Good,Yes,Rent,Yes,,7
40208,68,Male,Chinese,17,Married,2,Living with spouse,0,0,Buddhist,0,0,None,0,Retired,Professional,"$50,000 - $59,999",0,No,39,Yes,Very well,High,Very high,Very Good,Very Good,Yes,Own,Yes,Very much,8
60207,76,Female,Chinese,13,Married,4,Living with spouse,0,0,None,0,0,None,0,Retired,Skilled trades,"$10,000 - $19,999",1,No,6,Yes,Not at all,Low,High,Very Good,Very Good,0,Own,Yes,,6
60218,75,Female,Chinese,12,,2,0,Living with children,0,Protestant,0,0,None,0,Retired,None,"$0 - $9,999",1,No,10,No,Not at all,Low,High,Fair,Fair,Yes,Rent,Yes,,5
80398,51,Female,Chinese,12,Married,4,Living with spouse,Living with children,0,Buddhist,Employed full time,0,Full Time,0,0,Service worker,"$30,000 - $39,999",0,No,22,Yes,Well,Low,Low,Excellent,Excellent,Yes,Own,Yes,Pretty much,8
60008,68,Female,Chinese,6,Married,7,Living with spouse,Living with children,0,Buddhist,0,0,None,0,0,None,,,No,5,No,Not at all,Low,Low,Fair,Fair,Yes,,Yes,,5
60065,45,Male,Chinese,9,Married,3,Living with spouse,0,0,Buddhist,Employed full time,0,Full Time,0,0,Business owner,"$20,000 - $29,999",0,No,2,Yes,Not at all,Very low,High,Fair,Fair,0,Rent,No,,5
60089,58,Female,Chinese,12,Married,5,0,Living with children,0,,0,0,None,0,Retired,None,,,No,0.5,No,Not at all,Low,High,Very Good,Very Good,0,Rent,Yes,Very much,5
60134,41,Male,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,17,No,Well,High,High,Fair,Excellent,Yes,Own,Yes,Very much,7
60143,86,Male,Chinese,14,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,None,,0,No,15,No,Not at all,Low,High,Fair,Good,Yes,Rent,Yes,Pretty much,6
50148,25,Female,Chinese,16,Single,2,0,0,0,None,0,0,None,0,0,None,"$0 - $9,999",1,No,1,No,Not at all,Low,Low,Very Good,Very Good,0,Rent,No,,5
10040092,49,Male,Chinese,17,Married,4,0,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,16,No,Well,Low,High,Excellent,Excellent,Yes,Own,Yes,Very much,10
60014,19,Female,Chinese,16,Single,2,0,0,Living with parents,None,0,0,None,Student,0,Professional,"$20,000 - $29,999",0,No,0.5,Yes,Not well,High,Very high,Excellent,Excellent,0,Rent,Yes,Pretty much,7
